Assembly	Temperature	pH	RefLink	genome_size	L50	N50	Domain	Phylum	Class	Order	Family	Genus	Species	tax_cluster_id	NCBI_Species
GCA_000016065.1	Psychrophiles		https://doi.org/10.1099/ijs.0.64354-0	4602594	1	4602594	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella loihica	323850	Shewanella loihica PV-4
GCA_000016385.1	Hyperthermophiles		https://bacdive.dsmz.de/strain/17028	2121076	1	2121076	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum	121277	Pyrobaculum arsenaticum PZ6, DSM 13514
GCA_000016545.1	Thermophiles		https://doi.org/10.1007/s00253-006-0783-x	2970275	1	2970275	Bacteria	Firmicutes_A	Thermoanaerobacteria	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor saccharolyticus	351627	Caldicellulosiruptor saccharolyticus DSM 8903
GCA_000016605.1	Thermophiles		https://bacdive.dsmz.de/strain/16645	2191517	1	2191517	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera sedula	43687	Metallosphaera sedula
GCA_000016785.1	Hyperthermophiles		https://doi.org/10.1099/00207713-51-5-1901	1823511	1	1823511	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga petrophila	590168	Thermotoga petrophila
GCA_000017185.1	Mesophiles		https://doi.org/10.1099/ijs.0.64216-0	1569500	1	1569500	Archaea	Methanobacteriota_A	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus_A	Methanothermococcus_A aeolicus	42879	Methanococcus aeolicus
GCA_000017945.1	Hyperthermophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64721-0	1297538	1	1297538	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Ignicoccaceae	Ignicoccus_A	Ignicoccus_A hospitalis	453591	Ignicoccus hospitalis KIN4/I
GCA_000018025.1	Psychrophiles		https://doi.org/10.1099/ijs.0.63604-0	5517674	1	5517674	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella sediminis	425104	Shewanella sediminis HAW-EB3
GCA_000018285.1	Mesophiles		https://doi.org/10.1099/00207713-49-4-1341	5174581	1	5174581	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella pealeana	398579	Shewanella pealeana ATCC 700345
GCA_000018305.1	Hyperthermophiles	Acidophiles	https://doi.org/10.1099/00207713-49-3-1157	2077567	1	2077567	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermocladiaceae	Caldivirga	Caldivirga maquilingensis	397948	Caldivirga maquilingensis IC-167
GCA_000018365.1	Hyperthermophiles	Alkaliphiles	https://bacdive.dsmz.de/strain/161372	1847607	1	1847607	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus	523850	Thermococcus onnurineus NA1
GCA_000018465.1	Mesophiles		10.1099/ijsem.0.002416	1645259	1	1645259	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus maritimus	436308	Nitrosopumilus maritimus SCM1
GCA_000018945.1	Hyperthermophiles		https://bacdive.dsmz.de/strain/17061	1884562	1	1884562	Bacteria	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga neapolitana	309803	Thermotoga neapolitana DSM 4359
GCA_000019085.1	Thermophiles		https://doi.org/10.1099/00207713-45-4-783	2362816	1	2362816	Bacteria	Firmicutes_A	Thermoanaerobacteria	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter pseudethanolicus	509193	Thermoanaerobacter brockii subsp. finnii Ako-1
GCA_000019185.1	Psychrophiles		https://doi.org/10.1099/ijs.0.63829-0	5226917	1	5226917	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella halifaxensis	271098	Shewanella halifaxensis
GCA_000019525.1	Psychrophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-4-1034	5935403	1	5935403	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella woodyi	392500	Shewanella woodyi ATCC 51908
GCA_000019805.1	Hyperthermophiles		https://bacdive.dsmz.de/strain/17030	1769823	1	1769823	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum neutrophilum	444157	Thermoproteus neutrophilus
GCA_000020585.3	Psychrophiles		https://bacdive.dsmz.de/strain/23563	4480937	1	4480937	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alteromonas	Alteromonas mediterranea	1300253	Alteromonas mediterranea 615
GCA_000020965.1	Thermophiles		https://doi.org/10.1099/00207713-35-3-253	1959987	1	1959987	Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	Dictyoglomus thermophilum	309799	Dictyoglomus thermophilum H-6-12
GCA_000021485.1		Acidophiles	https://doi.org/10.1074%2Fmcp.M700042-MCP200	2982397	1	2982397	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrooxidans	920	Acidithiobacillus ferrooxidans
GCA_000021645.1	Thermophiles		https://doi.org/10.3389/fmicb.2016.01979	1855560	1	1855560	Bacteria	Dictyoglomota	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	Dictyoglomus turgidum	515635	Dictyoglomus turgidum DSM 6724
GCA_000021965.1	Mesophiles		https://doi.org/10.1099/ijs.0.006890-0	2922917	1	2922917	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanosphaerulaceae	Methanosphaerula	Methanosphaerula palustris	521011	Methanosphaerula palustris
GCA_000022205.1	Psychrophiles		https://doi.org/10.1111/1462-2920.13705	3692576	1	2735295	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum lacusprofundi	416348	Halorubrum lacusprofundi ATCC 49239
GCA_000022325.1	Thermophiles		https://doi.org/10.1099/ijs.0.017731-0	2931662	1	2919718	Bacteria	Firmicutes_A	Thermoanaerobacteria	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor bescii	31899	Caldicellulosiruptor bescii
GCA_000022365.1	Hyperthermophiles		https://doi.org/10.1099/ijs.0.02503-0	2045438	1	2045438	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus gammatolerans	593117	Thermococcus gammatolerans EJ3
GCA_000022485.1	Hyperthermophiles	Acidophiles	https://doi.org/10.1007/978-1-0716-2445-6_10	2854410	1	2812165	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Sulfolobaceae	Saccharolobus	Saccharolobus islandicus	425944	Sulfolobus islandicus L.D.8.5
GCA_000022545.1	Hyperthermophiles		https://doi.org/10.3390/ijms22189894	1845800	1	1845800	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_A	Thermococcus_A sibiricus	604354	Thermococcus sibiricus MM 739
GCA_000022565.1		Acidophiles	https://doi.org/10.1128/AEM.02294-08	4127356	1	4127356	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum	240015	Acidobacterium capsulatum ATCC 51196
GCA_000023465.1	Psychrophiles		https://doi.org/10.1186%2F1471-2164-11-247	5128187	1	5128187	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Zunongwangia	Zunongwangia profunda	655815	Zunongwangia profunda SM-A87
GCA_000023945.1	Mesophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-50-1-183	3116795	1	3116795	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus utahensis	519442	Halorhabdus utahensis DSM 12940
GCA_000023965.1	Mesophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-52-5-1831	3332349	1	3110487	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium mukohataei	485914	Halomicrobium mukohataei DSM 12286
GCA_000023985.1	Thermophiles		https://pubmed.ncbi.nlm.nih.gov/10319479/	1507251	1	1485061	Archaea	Methanobacteriota_A	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus fervens	573064	Methanocaldococcus fervens AG86
GCA_000024285.1	Thermophiles	Acidophiles	https://doi.org/10.2174/092986608785849209	3205686	1	3018755	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus acidocaldarius	521098	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
GCA_000024605.1	Thermophiles		https://bacdive.dsmz.de/strain/16789	2157067	1	2129237	Bacteria	Firmicutes_B	Desulfotomaculia	Ammonifexales	Ammonificaceae	Ammonifex	Ammonifex degensii	429009	Ammonifex degensii KC4
GCA_000024625.1	Thermophiles		https://bacdive.dsmz.de/strain/6983	1761737	1	1746329	Archaea	Methanobacteriota_A	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus vulcanius	579137	Methanocaldococcus vulcanius
GCA_000024845.1	Thermophiles		https://bacdive.dsmz.de/strain/17794	3386737	1	3261604	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rhodothermus	Rhodothermus marinus	518766	Rhodothermus marinus DSM 4252
GCA_000025325.1	Thermophiles		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545725/	5440782	1	3889038	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Haloterrigena	Haloterrigena turkmenica	543526	Haloterrigena turkmenica
GCA_000025505.1	Hyperthermophiles		https://doi.org/10.1007/s002030050388	2196266	1	2196266	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus	589924	Ferroglobus placidus DSM 10642
GCA_000025605.1	Thermophiles		https://link.springer.com/article/10.1007/s00792-001-0259-y	1500577	1	1500577	Bacteria	Aquificota	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis albus	638303	Thermocrinis albus DSM 14484
GCA_000025625.1		Alkaliphiles	https://doi.org/10.1099/00207713-47-3-853	4443643	1	3751858	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrialba	Natrialba magadii	547559	Natrialba magadii ATCC 43099
GCA_000025665.1	Thermophiles	Acidophiles	https://doi.org/10.1007%2Fs00792-007-0111-0	1486778	1	1486778	Archaea	Thermoplasmatota	Thermoplasmata	Aciduliprofundales	Aciduliprofundaceae	Aciduliprofundum	Aciduliprofundum boonei	439481	Aciduliprofundum boonei
GCA_000025685.1	Mesophiles		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545725/	4012900	1	2847757	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloferax	Haloferax volcanii	309800	Haloferax volcanii
GCA_000025865.1	Mesophiles		https://bacdive.dsmz.de/strain/7068	2012424	1	2012424	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus mahii	547558	Methanohalophilus mahii DSM 5219
GCA_000026045.1		Alkaliphiles	https://doi.org/10.1099/00207713-47-3-853	2749696	1	2595221	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas pharaonis	348780	Natronomonas pharaonis DSM 2160
GCA_000026225.1	Mesophiles		https://www.sciencedirect.com/science/article/pii/S0378113514002168?via%3Dihub	4643861	1	4588711	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia fergusonii	564	Escherichia fergusonii
GCA_000027065.2	Mesophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65577-0	4599092	1	4384463	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter turicensis	1208590	Cronobacter turicensis 564
GCA_000027145.1	Mesophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-33-4-866	2797636	1	2797636	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	Listeria seeligeri	1640	Listeria seeligeri
GCA_000060285.1	Mesophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-33-4-866	2814130	1	2814130	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	Listeria welshimeri	1643	Listeria welshimeri
GCA_000091325.1	Psychrophiles		https://doi.org/10.1039/c000396d	4962103	1	4962103	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Shewanellaceae	Shewanella	Shewanella violacea	637905	Shewanella violacea DSS12
GCA_000091545.1	Thermophiles		https://doi.org/10.1016/j.ymben.2017.10.007	2116056	1	1849742	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus thermophilus	274	Thermus thermophilus
GCA_000091665.1	Thermophiles		https://bacdive.dsmz.de/strain/6981	1739927	1	1664970	Archaea	Methanobacteriota_A	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii	2190	Methanocaldococcus jannaschii UBA8849
GCA_000092125.1	Thermophiles		https://bacdive.dsmz.de/strain/16703	3721669	1	3249394	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Meiothermus_B	Meiothermus_B silvanus	526227	Meiothermus silvanus DSM 9946
GCA_000092425.1	Thermophiles	Alkaliphiles	https://pubmed.ncbi.nlm.nih.gov/15927420/	3260398	1	3260398	Bacteria	Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera	Truepera radiovictrix	649638	Truepera radiovictrix DSM 17093
GCA_000144915.1	Thermophiles	Acidophiles	https://doi.org/10.1128%2FAEM.00599-10	1496453	1	1496453	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans	666510	Acidilobus saccharovorans 345-15
GCA_000145215.1	Thermophiles		https://doi.org/10.1128/aem.01903-09	2532343	1	2532343	Bacteria	Firmicutes_A	Thermoanaerobacteria	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor obsidiansis	608506	Caldicellulosiruptor obsidiansis OB47
GCA_000145295.1	Thermophiles		https://doi.org/10.1016/j.enzmictec.2022.110067	1639135	1	1634695	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermobacteraceae	Methanothermobacter	Methanothermobacter marburgensis	2603820	Methanothermobacter sp. KEPCO-1
GCA_000145615.1	Thermophiles	Acidophiles	https://bacdive.dsmz.de/strain/18044	2785752	1	2785752	Bacteria	Firmicutes_A	Thermoanaerobacteria	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacterium	Thermoanaerobacterium thermosaccharolyticum	1517	Thermoanaerobacterium thermosaccharolyticum
GCA_000145985.1	Hyperthermophiles		https://doi.org/10.1099/ijs.0.63899-0	1875953	1	1875953	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Ignisphaeraceae	Ignisphaera	Ignisphaera aggregans	334771	Ignisphaera aggregans AQ1.S1, DSM 17230
GCA_000147695.3	Thermophiles		https://doi.org/10.1007/s007920070014	2785056	1	2785056	Bacteria	Firmicutes_A	Thermoanaerobacteria	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter wiegelii	697303	Thermoanaerobacter wiegelii Rt8.B1
GCA_000147875.1	Mesophiles		https://bacdive.dsmz.de/strain/7043	2843290	1	2843290	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanolacinia	Methanolacinia petrolearia	679926	Methanolacinia petrolearia
GCA_000148385.1	Hyperthermophiles	Acidophiles	https://doi.org/10.1099/00207713-52-4-1097	2374137	1	2374137	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermocladiaceae	Vulcanisaeta	Vulcanisaeta distributa	572478	Vulcanisaeta distributa DSM 14429
GCA_000148995.1	Mesophiles		https://bacdive.dsmz.de/strain/6870	2598321	2	982217	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	Listeria grayi	1641	Listeria grayi
GCA_000151105.2	Hyperthermophiles		https://doi.org/10.1099/00207713-49-2-351	2064237	1	2010078	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_B	Thermococcus_B barophilus	391623	Thermococcus barophilus
GCA_000151205.2	Hyperthermophiles		https://doi.org/10.1128/jb.06259-11	2086428	1	2086428	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp000151205	246969	Thermococcus sp. AM4
GCA_000152265.2		Acidophiles	https://www.microbiologyresearch.org/content/journal/micro/10.1099/mic.0.28076-0	1935211	1	1935211	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Ferroplasma	Ferroplasma acidarmanus	333146	Ferroplasma acidarmanus fer1
GCA_000153225.1	Psychrophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-48-1-223	2763458	2	927669	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter irgensii	313594	Polaribacter irgensii 23-P
GCA_000153485.2	Psychrophiles		https://doi.org/10.1099/00221287-144-6-1601	4321832	1	4321832	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus torquis	313595	Psychroflexus torquis ATCC 700755
GCA_000166095.1	Hyperthermophiles		https://doi.org/10.1128/jb.174.11.3508-3513.1992	1243342	1	1243342	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus	523846	Methanothermus fervidus V24S, DSM 2088
GCA_000166335.1	Thermophiles		https://doi.org/10.1128/jb.01515-10	2428903	1	2428903	Bacteria	Firmicutes_A	Thermoanaerobacteria	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor owensensis	632518	Caldicellulosiruptor owensensis OL
GCA_000166355.1	Thermophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65236-0	2770676	1	2770676	Bacteria	Firmicutes_A	Thermoanaerobacteria	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor hydrothermalis	632292	Caldicellulosiruptor hydrothermalis 108
GCA_000166775.1	Thermophiles		https://doi.org/10.1099/ijs.0.65236-0	2843785	1	2843785	Bacteria	Firmicutes_A	Thermoanaerobacteria	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor kronotskyensis	632348	Caldicellulosiruptor kronotskyensis 2002
